ZIP_CODE,Health Insurance Coverage - Civilian noninstitutionalized population 19 to 64 years,Sex and Age - Total population - 18 years and over,Sex and Age - Total population - 18 years and over - Female,Sex and Age - Total population - 21 years and over,Employment Status - Females 16 years and over,Employment Status - Population 16 years and over,Sex and Age - Total population - 16 years and over,Health Insurance Coverage - Civilian noninstitutionalized population,Sex and Age - Total population - Female
18324,6275,7508.0,3904.0,7133.0,4005,7896,7896.0,9587,4827.0
18325,1894,2305.0,1070.0,2242.0,1070,2343,2343.0,2819,1286.0
18326,2311,3041.0,1447.0,2760.0,1521,3129,3129.0,3828,2026.0
18327,389,506.0,224.0,472.0,242,529,529.0,613,272.0
18328,4724,6280.0,2888.0,6016.0,2930,6453,6453.0,7864,3603.0
18330,5848,7031.0,3535.0,6450.0,3751,7542,7542.0,9236,4628.0
18331,176,363.0,148.0,363.0,148,363,363.0,430,188.0
18332,1860,2413.0,1118.0,2083.0,1158,2505,2505.0,2977,1430.0
18333,0,0.0,0.0,0.0,0,0,0.0,0,0.0
18334,3463,4186.0,2026.0,4089.0,2267,4486,4486.0,5277,2755.0
18335,881,1205.0,564.0,1130.0,577,1287,1287.0,1472,663.0
18336,1972,2972.0,1578.0,2887.0,1608,3029,3029.0,3519,1821.0
18337,9155,12602.0,6349.0,12033.0,6572,13034,13034.0,15173,7482.0
18340,106,125.0,90.0,125.0,98,133,133.0,155,98.0
18342,418,436.0,211.0,436.0,211,436,436.0,543,260.0
18343,2669,3446.0,1640.0,3359.0,1717,3523,3523.0,4020,1997.0
18344,2127,2872.0,1246.0,2872.0,1262,2915,2915.0,3616,1737.0
18346,1423,2038.0,897.0,1943.0,897,2061,2061.0,2605,1229.0
18347,1684,2830.0,1331.0,2810.0,1331,2840,2840.0,2917,1360.0
18349,43,74.0,15.0,74.0,15,74,74.0,160,15.0
18350,254,637.0,296.0,637.0,296,637,637.0,722,310.0
18351,308,364.0,167.0,339.0,180,379,379.0,507,252.0
18353,7487,10003.0,4992.0,9653.0,5066,10171,10171.0,11975,5885.0
18354,848,1194.0,696.0,1194.0,696,1194,1194.0,1447,832.0
18355,987,1036.0,632.0,1036.0,632,1036,1036.0,1276,685.0
18356,70,70.0,32.0,70.0,32,70,70.0,70,32.0
18357,12,64.0,40.0,62.0,40,64,64.0,64,40.0
18360,15507,22779.0,11526.0,21906.0,12015,23648,23648.0,28004,14651.0
18370,608,810.0,429.0,779.0,463,844,844.0,1120,629.0
18371,344,579.0,319.0,579.0,319,579,579.0,665,363.0
18372,1558,2060.0,1112.0,1944.0,1140,2111,2111.0,2532,1273.0
18403,4260,5359.0,2773.0,5100.0,2848,5499,5499.0,6825,3568.0
18405,1393,1878.0,966.0,1793.0,997,1940,1940.0,2309,1173.0
18407,8360,11552.0,6034.0,11160.0,6108,11824,11824.0,14372,7552.0
18411,12199,17842.0,9445.0,16779.0,9903,18552,18552.0,22680,11922.0
18413,53,53.0,23.0,53.0,23,53,53.0,53,23.0
18414,3115,4392.0,2245.0,4269.0,2304,4522,4522.0,5488,2793.0
18415,777,1371.0,609.0,1369.0,609,1371,1371.0,1468,661.0
18417,486,772.0,377.0,755.0,400,806,806.0,946,501.0
18419,2594,3757.0,1848.0,3369.0,1882,3817,3817.0,4529,2253.0
18420,98,134.0,68.0,134.0,68,142,142.0,169,95.0
18421,2789,3784.0,1897.0,3641.0,1967,3894,3894.0,4540,2377.0
